Time (s), Voltage (V)
-2.081250000000000114e-02,2.961463555686369084e-02
-2.079999999999999905e-02,2.960735712020599875e-02
-2.078750000000000042e-02,2.960099467032039147e-02
-2.077499999999999833e-02,2.959466927676673506e-02
-2.076249999999999971e-02,2.958777845704262804e-02
-2.075000000000000108e-02,2.958145433192087975e-02
-2.073749999999999899e-02,2.957497370268805104e-02
-2.072500000000000037e-02,2.956869444834481220e-02
-2.071249999999999827e-02,2.956146032752667366e-02
-2.069999999999999965e-02,2.955445822555380353e-02
-2.068750000000000103e-02,2.954844404856225501e-02
-2.067499999999999893e-02,2.954242230628043725e-02
-2.066250000000000031e-02,2.953595746449466652e-02
-2.065000000000000169e-02,2.952986816915388613e-02
-2.063749999999999959e-02,2.952377365059174683e-02
-2.062500000000000097e-02,2.951730168520181469e-02
-2.061249999999999888e-02,2.951198336542107392e-02
-2.060000000000000026e-02,2.950565681442331861e-02
-2.058750000000000163e-02,2.949828690344005397e-02
-2.057499999999999954e-02,2.949195670570057409e-02
-2.056250000000000092e-02,2.948579440304367055e-02
-2.054999999999999882e-02,2.947803938707501889e-02
-2.053750000000000020e-02,2.947117247276212840e-02
-2.052500000000000158e-02,2.946537815125993900e-02
-2.051249999999999948e-02,2.945704049468787084e-02
-2.050000000000000086e-02,2.945055542141328253e-02
-2.048749999999999877e-02,2.944228576185134102e-02
-2.047500000000000014e-02,2.943492870959648830e-02
-2.046250000000000152e-02,2.942650489931765770e-02
-2.044999999999999943e-02,2.941798633038064659e-02
-2.043750000000000080e-02,2.941134037916996735e-02
-2.042499999999999871e-02,2.940351609322918239e-02
-2.041250000000000009e-02,2.939471920541745359e-02
-2.040000000000000147e-02,2.938518925683424390e-02
-2.038749999999999937e-02,2.937617558042028912e-02
-2.037500000000000075e-02,2.936781939115213139e-02
-2.036249999999999866e-02,2.935918822396826194e-02
-2.035000000000000003e-02,2.935154174273426481e-02
-2.033750000000000141e-02,2.934255909760074069e-02
-2.032499999999999932e-02,2.933321495164047110e-02
-2.031250000000000069e-02,2.932525290493499803e-02
-2.029999999999999860e-02,2.931863516500883907e-02
-2.028749999999999998e-02,2.931080446895683450e-02
-2.027500000000000135e-02,2.930329750617171811e-02
-2.026249999999999926e-02,2.929508348546909849e-02
-2.025000000000000064e-02,2.928809476771784479e-02
-2.023749999999999855e-02,2.927988505288851503e-02
-2.022499999999999992e-02,2.927321513057996871e-02
-2.021250000000000130e-02,2.926687313189370657e-02
-2.019999999999999921e-02,2.925924678248601613e-02
-2.018750000000000058e-02,2.925112284762905815e-02
-2.017499999999999849e-02,2.924451750435966974e-02
