Time (s), Voltage (V)
-4.559383661811999833e-02,2.157984107454261058e-02
-4.557368658155999674e-02,2.158121586898869779e-02
-4.555353654500000210e-02,2.157162496092735263e-02
-4.553338650844000052e-02,2.156192021110290430e-02
-4.551323647186999999e-02,2.157186890756261285e-02
-4.549308643530999841e-02,2.156015492763101865e-02
-4.547293639874999682e-02,2.153956332419719455e-02
-4.545278636219000218e-02,2.153171610228955812e-02
-4.543263632562000165e-02,2.153468273347033946e-02
-4.541248628906000007e-02,2.154660261840544294e-02
-4.539233625249999848e-02,2.153701149516369304e-02
-4.537218621593999690e-02,2.151675798319286487e-02
-4.535203617937000331e-02,2.150746996987433143e-02
-4.533188614281000173e-02,2.150527782962199930e-02
-4.531173610625000014e-02,2.148855955740745782e-02
-4.529158606968999856e-02,2.150071287231832343e-02
-4.527143603311999803e-02,2.149158261342231854e-02
-4.525128599656000339e-02,2.148294507236815643e-02
-4.523113596000000181e-02,2.147681249405381312e-02
-4.521098592344000022e-02,2.146938784570390224e-02
-4.519083588686999969e-02,2.147858369838460957e-02
-4.517068585030999811e-02,2.146896047249047604e-02
-4.515053581375000347e-02,2.144059664318516759e-02
-4.513038577719000188e-02,2.144884481868178025e-02
-4.511023574062000135e-02,2.143657084418632008e-02
-4.509008570405999977e-02,2.141662970169159325e-02
-4.506993566749999819e-02,2.143747081700564036e-02
-4.504978563093999661e-02,2.144708431221504022e-02
-4.502963559437000302e-02,2.140423311739749271e-02
-4.500948555781000143e-02,2.137890903304677515e-02
-4.498933552124999985e-02,2.138196391990717510e-02
-4.496918548468999827e-02,2.136517905048770927e-02
-4.494903544811999774e-02,2.135225802622895200e-02
-4.492888541156000309e-02,2.137894693651004596e-02
-4.490873537500000151e-02,2.136075673288141685e-02
-4.488858533843999993e-02,2.133923041744958948e-02
-4.486843530186999940e-02,2.130552837436820723e-02
-4.484828526530999782e-02,2.129026651113235039e-02
-4.482813522875000317e-02,2.127576295499290435e-02
-4.480798519219000159e-02,2.124433583320079963e-02
-4.478783515562000106e-02,2.120683376520379401e-02
-4.476768511905999948e-02,2.120078438696192807e-02
-4.474753508249999789e-02,2.118680534553403494e-02
-4.472738504594000325e-02,2.117388466103381842e-02
-4.470723500937000272e-02,2.117993490452744348e-02
-4.468708497281000114e-02,2.118735001472246346e-02
-4.466693493624999955e-02,2.116069307572045199e-02
-4.464678489968999797e-02,2.116810174862357105e-02
-4.462663486311999744e-02,2.114462947971600809e-02
-4.460648482656000280e-02,2.116034712224471384e-02
-4.458633479000000122e-02,2.112750461392063489e-02
-4.456618475343999963e-02,2.110331194364498120e-02
-4.454603471686999910e-02,2.110745734671186716e-02
-4.452588468030999752e-02,2.110947977983605728e-02
-4.450573464375000288e-02,2.111146729937217123e-02
-4.448558460719000129e-02,2.110271702643280733e-02
-4.446543457062000076e-02,2.111005371809061143e-02
-4.444528453405999918e-02,2.113564124215682946e-02
-4.442513449749999760e-02,2.113334568619860965e-02
-4.440498446094000295e-02,2.113199492853704703e-02
-4.438483442437000243e-02,2.110113058959392496e-02
-4.436468438781000084e-02,2.108213814355890461e-02
-4.434453435124999926e-02,2.108586945117629091e-02
-4.432438431468999768e-02,2.108379402024920107e-02
-4.430423427811999715e-02,2.105428720469279188e-02
-4.428408424156000250e-02,2.105455899340827677e-02
-4.426393420500000092e-02,2.106298795895676645e-02
-4.424378416843999934e-02,2.104019763075000785e-02
-4.422363413186999881e-02,2.104927396316976645e-02
-4.420348409530999723e-02,2.106866545788086201e-02
-4.418333405875000258e-02,2.106605635461691883e-02
-4.416318402219000100e-02,2.102368894652159592e-02
-4.414303398562000047e-02,2.104209834877306465e-02
-4.412288394905999889e-02,2.104244668508873164e-02
-4.410273391249999730e-02,2.104071009309343987e-02
-4.408258387594000266e-02,2.104587981154685400e-02
-4.406243383937000213e-02,2.106197708894838594e-02
-4.404228380281000055e-02,2.105667761897172044e-02
-4.402213376624999897e-02,2.102812668463571386e-02
-4.400198372968999738e-02,2.100180943396186273e-02
-4.398183369313000274e-02,2.100826860404499466e-02
-4.396168365656000221e-02,2.099340947926299841e-02
-4.394153362000000063e-02,2.098784472581445223e-02
-4.392138358343999904e-02,2.098660435343908254e-02
-4.390123354686999851e-02,2.095527599945598562e-02
-4.388108351030999693e-02,2.093829372352674217e-02
-4.386093347375000229e-02,2.091975719948317020e-02
-4.384078343719000070e-02,2.088376610115703913e-02
-4.382063340062000018e-02,2.087861820879255079e-02
-4.380048336405999859e-02,2.087184023420648668e-02
-4.378033332749999701e-02,2.087629304174459799e-02
-4.376018329094000237e-02,2.088514337810556259e-02
-4.374003325437000184e-02,2.087684240866117744e-02
-4.371988321781000025e-02,2.088898769847521639e-02
-4.369973318124999867e-02,2.089111820426243701e-02
-4.367958314468999709e-02,2.087246111803171822e-02
-4.365943310811999656e-02,2.088138414913095001e-02
-4.363928307156000191e-02,2.091105992661175181e-02
-4.361913303500000033e-02,2.091334229314326804e-02
-4.359898299843999875e-02,2.090614057849514429e-02
-4.357883296186999822e-02,2.090030340211515569e-02
-4.355868292530999664e-02,2.090667938345109125e-02
-4.353853288875000199e-02,2.092534433395960153e-02
-4.351838285219000041e-02,2.093281944551365556e-02
-4.349823281561999988e-02,2.091833191012213919e-02
-4.347808277905999830e-02,2.091435177467173764e-02
-4.345793274249999671e-02,2.091003041971465498e-02
-4.343778270594000207e-02,2.089258603365834466e-02
-4.341763266937000154e-02,2.088869175066213058e-02
-4.339748263280999996e-02,2.088950207252672497e-02
-4.337733259624999838e-02,2.086842558155297192e-02
-4.335718255968999679e-02,2.084909270878122431e-02
-4.333703252312000320e-02,2.086211612041002569e-02
-4.331688248656000162e-02,2.085541334571524436e-02
-4.329673245000000004e-02,2.085967286235208829e-02
-4.327658241343999845e-02,2.086613086593087571e-02
-4.325643237686999792e-02,2.085517493261415320e-02
-4.323628234031000328e-02,2.084270272486313247e-02
-4.321613230375000170e-02,2.083956286212558170e-02
-4.319598226719000011e-02,2.084776434800295064e-02
-4.317583223061999959e-02,2.081514890031444312e-02
-4.315568219405999800e-02,2.079194160909606653e-02
-4.313553215750000336e-02,2.081061576253102549e-02
-4.311538212094000178e-02,2.079233672563324947e-02
-4.309523208437000125e-02,2.078547487145761957e-02
-4.307508204780999966e-02,2.076833296110857513e-02
-4.305493201124999808e-02,2.075866603773544872e-02
-4.303478197469000344e-02,2.075647410133825421e-02
-4.301463193812000291e-02,2.074013572447807111e-02
-4.299448190156000132e-02,2.074918166436345857e-02
-4.297433186499999974e-02,2.076793905184676214e-02
-4.295418182843999816e-02,2.074826497089362481e-02
-4.293403179186999763e-02,2.072775698656781004e-02
-4.291388175531000299e-02,2.071726371831711377e-02
-4.289373171875000140e-02,2.071879416974297186e-02
-4.287358168218999982e-02,2.069297187025713816e-02
-4.285343164561999929e-02,2.066840048245673772e-02
-4.283328160905999771e-02,2.065585281433288470e-02
-4.281313157250000306e-02,2.067702934607765219e-02
-4.279298153594000148e-02,2.067092629731098058e-02
