Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
13s1/2,10p1/2,10990.5811,12.0799,10990(10)*,3.7276923,0.0168344,3.728(17),,,,
13s1/2,10p3/2,11079.5958,12.2764,11080(10)*,5.1314334,0.0272866,5.131(27),,,,
13s1/2,11p1/2,22213.8303,49.3479,22210(50)*,10.139812,0.037948,10.140(38),,,,
13s1/2,11p3/2,22461.8149,50.4558,22460(50)*,14.053367,0.061888,14.053(62),,,,
13s1/2,12p1/2,76793.1193,590.455,76800(600)*,76.113359,0.0380567,76.113(38),,,,
13s1/2,12p3/2,78939.059,623.9159,78900(600)*,109.86315,0.07812,109.863(78),,,,
13s1/2,13p1/2,98706.9391,975.5231,9.9(1)E+04*,98.848218,0.287547,98.85(29),,,,
13s1/2,13p3/2,96237.1283,927.3155,96200(900)*,137.93859,0.4447,137.94(44),,,,
4d3/2,5p1/2,1475.6447,0.0022,1475.645(2),8.0161729,0.0242461,8.016(24),,,,
4d3/2,5p3/2,1529.2615,0.0024,1529.262(2),3.6184071,0.012493,3.618(12),,,,
4d3/2,6p1/2,2293.8768,0.0074,2293.877(7),5.2700592,0.2613877,5.27(26),,,,
4d3/2,6p3/2,2253.8045,0.0072,2253.805(7),2.3022326,0.1161689,2.30(12),,,,
4d3/2,7p1/2,1179.3328,0.002,1179.333(2),1.0692542,0.0183221,1.069(18),,,,
4d3/2,7p3/2,1174.4725,0.002,1174.472(2),0.4791787,0.0075987,0.4792(76),,,,
4d3/2,8p1/2,954.263,0.0013,954.263(1),0.5427834,0.009851,0.5428(99),,,,
4d3/2,8p3/2,952.5496,0.0013,952.550(1),0.2440041,0.0041747,0.2440(42),,,,
4d3/2,9p1/2,861.8267,0.0011,861.827(1),0.3517249,0.006511,0.3517(65),,,,
4d3/2,9p3/2,860.9897,0.001,860.990(1),0.1582699,0.0027292,0.1583(27),,,,
4d3/2,10p1/2,813.1271,0.0009,813.1271(9),0.2552861,0.0048281,0.2553(48),,,,
4d3/2,10p3/2,812.644,0.0009,812.6440(9),0.114924,0.0019795,0.1149(20),,,,
4d3/2,11p1/2,783.828,0.0009,783.8280(9),0.1977855,0.0037744,0.1978(38),,,,
4d3/2,11p3/2,783.5228,0.0009,783.5228(9),0.0890599,0.0015309,0.0891(15),,,,
4d3/2,12p1/2,764.6516,0.003,764.652(3),0.1598777,0.0030591,0.1599(31),,,,
4d3/2,12p3/2,764.4447,0.003,764.445(3),0.0719989,0.0012334,0.0720(12),,,,
4d3/2,13p1/2,751.3497,0.0029,751.350(3),0.1331411,0.0025536,0.1331(26),,,,
